CustomerID,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,Segment
12483,39,8,2484.9800000000005,4,5,5,455,Champions
12484,54,6,4492.4599999999955,4,4,5,445,Champions
12488,31,3,1298.6599999999996,5,3,4,534,Loyal Customers
12489,358,1,334.93,1,1,2,112,Lost
12490,27,10,5417.9299999999985,5,5,5,555,Champions
12491,60,1,460.4,3,1,2,312,Needs Attention
12492,85,2,263.21000000000004,3,2,2,322,Needs Attention
12493,187,2,433.73999999999995,2,2,2,222,Lost
12494,37,7,1233.5000000000002,4,5,4,454,Champions
12497,103,1,1043.1,2,1,4,214,Hibernating
12498,43,3,403.7,4,3,2,432,Loyal Customers
12500,45,11,4257.820000000001,4,5,5,455,Champions
12501,358,1,2139.0899999999997,1,1,5,115,Hibernating
12502,117,5,3691.3199999999993,2,4,5,245,At Risk
12504,40,2,482.04999999999995,4,2,2,422,Promising
12506,254,1,73.5,1,1,1,111,Lost
12507,156,3,1304.8100000000004,2,3,4,234,Cant Lose Them
12508,48,2,398.27000000000004,4,2,2,422,Promising
12509,306,1,176.5,1,1,1,111,Lost
12510,164,2,982.5699999999998,2,2,4,224,Hibernating
12512,88,2,138.03000000000003,3,2,1,321,Needs Attention
12513,134,1,612.2900000000001,2,1,3,213,Hibernating
12514,289,1,1017.6800000000001,1,1,4,114,Hibernating
12515,375,1,383.7,1,1,2,112,Lost
12516,99,2,1312.0600000000002,2,2,4,224,Hibernating
12517,50,5,2496.090000000001,4,4,5,445,Champions
12518,22,5,2051.8499999999995,5,4,5,545,Champions
12519,85,1,340.84,3,1,2,312,Needs Attention
12520,101,5,2550.7399999999993,2,4,5,245,At Risk
12521,164,1,599.6800000000002,2,1,3,213,Hibernating
12522,61,2,192.72000000000003,3,2,1,321,Needs Attention
12523,41,11,1789.77,4,5,4,454,Champions
12524,31,8,4485.720000000003,5,5,5,555,Champions
12526,22,3,1316.6600000000005,5,3,4,534,Loyal Customers
12527,103,3,348.71,2,3,2,232,Cant Lose Them
12528,31,6,1933.4800000000014,5,4,4,544,Champions
12530,81,4,1657.24,3,4,4,344,Potential Loyalists
12531,36,1,125.22,5,1,1,511,Promising
12532,52,1,349.83,4,1,2,412,Promising
12534,152,1,1089.18,2,1,4,214,Hibernating
12535,113,2,716.3499999999998,2,2,3,223,Hibernating
12536,65,3,12601.829999999996,3,3,5,335,Potential Loyalists
12538,51,1,363.9499999999999,4,1,2,412,Promising
12539,44,4,5568.349999999998,4,4,5,445,Champions
12540,41,17,13364.539999999986,4,5,5,455,Champions
12541,51,3,981.18,4,3,4,434,Loyal Customers
12544,58,1,372.7,3,1,2,312,Needs Attention
12545,97,2,1000.39,2,2,4,224,Hibernating
12546,68,2,1161.5000000000007,3,2,4,324,Needs Attention
12547,219,2,207.8,1,2,1,121,Lost
12548,188,1,95.19999999999999,2,1,1,211,Lost
12550,101,1,964.8299999999995,2,1,4,214,Hibernating
12551,379,1,168.0,1,1,1,111,Lost
12552,60,2,418.02,3,2,2,322,Needs Attention
12553,30,10,3653.1599999999985,5,5,5,555,Champions
12556,72,2,594.3499999999997,3,2,3,323,Needs Attention
12557,38,5,11990.96,4,4,5,445,Champions
12558,29,1,269.96000000000004,5,1,2,512,Promising
12559,332,2,561.7099999999999,1,2,3,123,Hibernating
12560,27,3,2134.0099999999998,5,3,5,535,Loyal Customers
12561,324,1,238.84999999999997,1,1,1,111,Lost
12562,30,7,3781.740000000003,5,5,5,555,Champions
12564,283,1,456.9,1,1,2,112,Lost
12565,310,1,145.92,1,1,1,111,Lost
12566,108,1,351.6499999999999,2,1,2,212,Lost
12567,44,10,9391.380000000001,4,5,5,455,Champions
12569,24,32,4085.0899999999992,5,5,5,555,Champions
12571,61,2,519.61,3,2,3,323,Needs Attention
12572,30,2,1020.42,5,2,4,524,Promising
12573,249,1,155.49999999999997,1,1,1,111,Lost
12574,337,1,218.45000000000002,1,1,1,111,Lost
12576,57,5,1296.0300000000004,3,4,4,344,Potential Loyalists
12577,57,3,656.4999999999998,3,3,3,333,Potential Loyalists
12578,43,2,2794.5099999999993,4,2,5,425,Promising
12579,100,1,440.41999999999996,2,1,2,212,Lost
12580,268,1,415.7,1,1,2,112,Lost
12581,61,1,197.70999999999998,3,1,1,311,Needs Attention
12582,260,2,511.36,1,2,3,123,Hibernating
12583,24,15,7281.379999999994,5,5,5,555,Champions
12584,25,9,2278.7499999999995,5,5,5,555,Champions
12585,256,2,2040.1000000000008,1,2,4,124,Hibernating
12586,39,1,196.94,4,1,1,411,Promising
12587,29,1,144.0,5,1,1,511,Promising
12588,61,1,214.89999999999998,3,1,1,311,Needs Attention
12589,50,2,636.6799999999998,4,2,3,423,Promising
12590,233,2,9864.26,1,2,5,125,Hibernating
12591,339,1,452.84999999999997,1,1,2,112,Lost
12592,114,2,437.59999999999997,2,2,2,222,Lost
12593,130,3,418.09999999999997,2,3,2,232,Cant Lose Them
12594,59,10,3338.22,3,5,5,355,Potential Loyalists
12596,73,2,618.27,3,2,3,323,Needs Attention
12597,41,4,3811.2200000000003,4,4,5,445,Champions
12598,31,8,3023.0800000000004,5,5,5,555,Champions
12599,51,7,1032.5800000000008,4,5,4,454,Champions
12600,50,10,2599.0400000000004,4,5,5,455,Champions
12601,211,5,577.06,1,4,3,143,At Risk
12602,80,1,153.12,3,1,1,311,Needs Attention
12603,43,1,739.1999999999999,4,1,3,413,Promising
12604,101,2,254.17999999999998,2,2,2,222,Lost
12607,82,1,1579.5100000000002,3,1,4,314,Needs Attention
12609,100,3,1103.45,2,3,4,234,Cant Lose Them
12610,44,5,2099.5399999999995,4,4,5,445,Champions
12611,74,1,1193.3200000000006,3,1,4,314,Needs Attention
12612,96,1,704.04,2,1,3,213,Hibernating
12613,79,5,3339.3400000000006,3,4,5,345,Potential Loyalists
12614,299,1,315.59999999999997,1,1,2,112,Lost
12615,24,4,2291.1899999999996,5,4,5,545,Champions
12616,117,2,713.3,2,2,3,223,Hibernating
12617,51,1,355.53000000000003,4,1,2,412,Promising
12618,43,1,177.31,4,1,1,411,Promising
12619,38,9,3636.2000000000007,4,5,5,455,Champions
12620,36,3,1296.2099999999998,5,3,4,534,Loyal Customers
12621,23,20,13674.369999999997,5,5,5,555,Champions
12622,254,1,180.1,1,1,1,111,Lost
12623,298,1,305.1,1,1,2,112,Lost
12624,128,2,641.13,2,2,3,223,Hibernating
12625,233,2,2678.7799999999993,1,2,5,125,Hibernating
12626,45,9,6620.480000000002,4,5,5,455,Champions
12627,32,7,4478.529999999999,5,5,5,555,Champions
12628,26,3,786.4599999999999,5,3,3,533,Loyal Customers
12630,31,2,1233.38,5,2,4,524,Promising
12631,79,1,640.5,3,1,3,313,Needs Attention
12633,80,4,2154.6200000000003,3,4,5,345,Potential Loyalists
12635,111,2,1689.1799999999998,2,2,4,224,Hibernating
12637,89,8,5986.409999999993,3,5,5,355,Potential Loyalists
12638,55,1,662.33,3,1,3,313,Needs Attention
12639,260,1,486.09999999999997,1,1,2,112,Lost
12640,45,3,1174.58,4,3,4,434,Loyal Customers
12641,137,1,185.90000000000003,2,1,1,211,Lost
12642,47,3,1013.26,4,3,4,434,Loyal Customers
12643,150,6,3344.64,2,5,5,255,At Risk
12644,151,1,477.90999999999997,2,1,2,212,Lost
12645,55,4,1775.1800000000005,3,4,4,344,Potential Loyalists
12646,26,2,1346.97,5,2,4,524,Promising
12647,44,12,3722.8200000000015,4,5,5,455,Champions
12648,176,1,318.05,2,1,2,212,Lost
12649,129,3,623.51,2,3,3,233,Cant Lose Them
12650,25,1,314.43999999999994,5,1,2,512,Promising
12651,356,1,114.0,1,1,1,111,Lost
12652,353,1,902.28,1,1,3,113,Hibernating
12653,170,2,2189.45,2,2,5,225,Hibernating
12654,32,5,601.9800000000001,5,4,3,543,Loyal Customers
12656,39,5,4051.17,4,4,5,445,Champions
12657,33,4,1643.1800000000003,5,4,4,544,Champions
12658,40,1,686.05,4,1,3,413,Promising
12659,51,1,91.68,4,1,1,411,Promising
12660,33,1,245.10000000000008,5,1,1,511,Promising
12662,22,11,3849.7800000000007,5,5,5,555,Champions
12664,30,9,4881.879999999999,5,5,5,555,Champions
12665,346,1,63.0,1,1,1,111,Lost
12667,80,1,620.1300000000003,3,1,3,313,Needs Attention
12668,33,4,3798.7499999999995,5,4,5,545,Champions
12669,172,3,2744.030000000002,2,3,5,235,Cant Lose Them
12670,32,5,2996.0500000000015,5,4,5,545,Champions
12672,351,1,225.90000000000003,1,1,1,111,Lost
12673,27,2,590.12,5,2,3,523,Promising
12674,60,4,1970.6000000000004,3,4,4,344,Potential Loyalists
12676,46,6,1331.3900000000003,4,5,4,454,Champions
12678,64,12,17628.460000000014,3,5,5,355,Potential Loyalists
12679,80,4,1113.0200000000002,3,4,4,344,Potential Loyalists
12680,22,4,862.81,5,4,3,543,Loyal Customers
12681,36,22,13685.060000000012,5,5,5,555,Champions
12682,25,31,12288.219999999985,5,5,5,555,Champions
12683,26,15,8471.529999999999,5,5,5,555,Champions
12684,29,7,2283.6299999999997,5,5,5,555,Champions
12685,50,6,2863.079999999999,4,5,5,455,Champions
12686,393,1,89.14,1,1,1,111,Lost
12688,135,1,4853.81,2,1,5,215,Hibernating
12689,47,2,1247.6099999999997,4,2,4,424,Promising
12690,227,1,389.01,1,1,2,112,Lost
12691,50,6,1035.8000000000002,4,5,4,454,Champions
12693,149,4,855.9099999999999,2,4,3,243,At Risk
12694,92,2,869.6699999999998,3,2,3,323,Needs Attention
12695,29,4,582.1,5,4,3,543,Loyal Customers
12697,50,3,957.5899999999998,4,3,4,434,Loyal Customers
12700,29,4,4939.990000000002,5,4,5,545,Champions
12701,101,2,797.71,2,2,3,223,Hibernating
12702,41,1,219.00000000000003,4,1,1,411,Promising
12703,93,1,283.54999999999995,3,1,2,312,Needs Attention
12704,29,8,2340.8400000000006,5,5,5,555,Champions
12705,37,9,6847.650000000008,4,5,5,455,Champions
12707,313,1,603.4200000000003,1,1,3,113,Hibernating
12708,51,10,2693.1100000000006,4,5,5,455,Champions
12709,37,15,9634.519999999997,4,5,5,455,Champions
12710,118,3,1143.9800000000007,2,3,4,234,Cant Lose Them
12712,50,13,4396.129999999999,4,5,5,455,Champions
12713,22,1,843.51,5,1,3,513,Promising
12714,31,5,4685.9400000000005,5,4,5,545,Champions
12715,128,1,353.86,2,1,2,212,Lost
12716,25,2,1053.4900000000002,5,2,4,524,Promising
12717,173,2,1030.9800000000002,2,2,4,224,Hibernating
12718,93,1,233.21,3,1,1,311,Needs Attention
12719,27,2,644.95,5,2,3,523,Promising
12720,24,25,5776.689999999998,5,5,5,555,Champions
12721,53,6,2651.0899999999983,4,5,5,455,Champions
12722,107,4,997.63,2,4,4,244,At Risk
12723,25,5,725.0699999999998,5,4,3,543,Loyal Customers
12724,27,4,1031.41,5,4,4,544,Champions
12725,393,1,427.8,1,1,2,112,Lost
12726,50,7,2609.0999999999995,4,5,5,455,Champions
12727,32,7,3975.66,5,5,5,555,Champions
12728,93,4,836.3300000000002,3,4,3,343,Potential Loyalists
12729,135,1,453.01000000000005,2,1,2,212,Lost
12731,45,12,18890.87000000003,4,5,5,455,Champions
12732,201,1,236.26,2,1,1,211,Lost
12733,256,1,383.95000000000005,1,1,2,112,Lost
12734,374,1,102.0,1,1,1,111,Lost
12735,337,2,779.5699999999998,1,2,3,123,Hibernating
12736,354,1,234.0,1,1,1,111,Lost
12738,394,1,155.35000000000002,1,1,1,111,Lost
12739,100,2,1013.0399999999998,2,2,4,224,Hibernating
12740,85,1,427.59999999999997,3,1,2,312,Needs Attention
12743,156,2,543.2899999999998,2,2,3,223,Hibernating
12744,73,7,21213.590000000004,3,5,5,355,Potential Loyalists
12747,24,11,4196.01,5,5,5,555,Champions
12748,22,209,33357.630000000354,5,5,5,555,Champions
12749,25,5,4045.5800000000013,5,4,5,545,Champions
12750,150,1,275.88,2,1,2,212,Lost
12752,103,1,4366.779999999999,2,1,5,215,Hibernating
12753,44,6,20709.869999999988,4,5,5,455,Champions
12754,257,3,3010.7400000000002,1,3,5,135,Cant Lose Them
12755,302,2,3811.95,1,2,5,125,Hibernating
12756,108,1,112.08,2,1,1,211,Lost
12757,37,13,7857.100000000001,4,5,5,455,Champions
12758,138,2,2781.5099999999993,2,2,5,225,Hibernating
12759,74,3,1531.4400000000005,3,3,4,334,Potential Loyalists
12762,29,2,1873.3200000000004,5,2,4,524,Promising
12763,160,2,489.04,2,2,3,223,Hibernating
12764,338,1,1693.8800000000003,1,1,4,114,Hibernating
12766,25,7,6969.829999999999,5,5,5,555,Champions
12769,260,1,1143.6000000000001,1,1,4,114,Hibernating
12770,232,1,1351.4499999999998,1,1,4,114,Hibernating
12772,81,1,872.6700000000002,3,1,3,313,Needs Attention
12775,39,5,1386.0399999999997,4,4,4,444,Champions
12778,41,6,822.2299999999998,4,5,3,453,Loyal Customers
12779,59,8,3981.360000000002,3,5,5,355,Potential Loyalists
12781,85,2,826.7399999999999,3,2,3,323,Needs Attention
12782,26,5,2311.1200000000013,5,4,5,545,Champions
12783,24,6,2225.9100000000003,5,5,5,555,Champions
12784,31,2,574.42,5,2,3,523,Promising
12785,386,1,311.95,1,1,2,112,Lost
12787,31,3,463.65999999999997,5,3,2,532,Loyal Customers
12789,87,1,91.85,3,1,1,311,Needs Attention
12790,214,1,324.9199999999999,1,1,2,112,Lost
12791,395,1,192.60000000000002,1,1,1,111,Lost
12792,278,1,400.53999999999996,1,1,2,112,Lost
12793,356,2,545.48,1,2,3,123,Hibernating
12794,75,2,860.4100000000002,3,2,3,323,Needs Attention
12795,40,1,430.48,4,1,2,412,Promising
12797,387,1,254.02999999999997,1,1,2,112,Lost
12798,32,3,6977.039999999999,5,3,5,535,Loyal Customers
12802,208,1,422.53999999999996,1,1,2,112,Lost
12808,58,3,483.65000000000015,3,3,2,332,Lost
12809,199,1,489.30999999999995,2,1,3,213,Hibernating
12811,282,3,514.85,1,3,3,133,Cant Lose Them
12812,66,1,229.63999999999993,3,1,1,311,Needs Attention
12814,123,1,125.92,2,1,1,211,Lost
12815,169,2,1063.4599999999998,2,2,4,224,Hibernating
12816,117,2,572.2,2,2,3,223,Hibernating
12817,303,1,166.04,1,1,1,111,Lost
12818,283,1,1542.0800000000002,1,1,4,114,Hibernating
12820,25,4,942.3400000000003,5,4,4,544,Champions
12821,236,1,92.72,1,1,1,111,Lost
12822,92,2,948.88,3,2,4,324,Needs Attention
12823,96,5,1759.5,2,4,4,244,At Risk
12824,81,1,392.0799999999999,3,1,2,312,Needs Attention
12826,24,7,1474.72,5,5,4,554,Champions
12827,27,3,430.1500000000001,5,3,2,532,Loyal Customers
12828,24,6,988.71,5,5,4,554,Champions
12829,358,2,293.0,1,2,2,122,Lost
12830,59,6,6814.640000000001,3,5,5,355,Potential Loyalists
12831,284,1,215.04999999999998,1,1,1,111,Lost
12832,54,2,383.03000000000003,4,2,2,422,Promising
12833,167,1,417.37999999999994,2,1,2,212,Lost
12834,304,1,312.38,1,1,2,112,Lost
12836,81,4,2597.7399999999984,3,4,5,345,Potential Loyalists
12837,195,1,134.10000000000002,2,1,1,211,Lost
12838,55,2,681.8300000000003,3,2,3,323,Needs Attention
12839,24,14,5581.340000000006,5,5,5,555,Champions
12840,165,4,2726.7699999999995,2,4,5,245,At Risk
12841,26,25,4008.8499999999985,5,5,5,555,Champions
12842,92,2,1053.2899999999997,3,2,4,324,Needs Attention
12843,87,8,1682.1100000000004,3,5,4,354,Potential Loyalists
12844,51,2,325.96000000000004,4,2,2,422,Promising
12845,289,4,349.14,1,4,2,142,At Risk
12847,44,1,848.1400000000006,4,1,3,413,Promising
12849,53,2,1011.2900000000002,4,2,4,424,Promising
12851,118,1,135.18,2,1,1,211,Lost
12852,316,1,311.55,1,1,2,112,Lost
12853,156,6,1957.1,2,5,4,254,At Risk
12854,100,3,1308.2500000000005,2,3,4,234,Cant Lose Them
12855,394,1,38.1,1,1,1,111,Lost
12856,29,6,2169.850000000001,5,5,5,555,Champions
12857,232,2,1106.4000000000003,1,2,4,124,Hibernating
12863,74,1,521.2,3,1,3,313,Needs Attention
12864,160,1,147.11999999999998,2,1,1,211,Lost
12865,48,2,1568.2299999999993,4,2,4,424,Promising
12866,305,1,559.1199999999999,1,1,3,113,Hibernating
12867,48,7,4011.1999999999953,4,5,5,455,Champions
12868,207,6,1602.0200000000002,1,5,4,154,At Risk
12871,106,2,380.64,2,2,2,222,Lost
12872,348,2,595.0199999999999,1,2,3,123,Hibernating
12873,304,1,374.0,1,1,2,112,Lost
12875,165,2,343.2300000000001,2,2,2,222,Lost
12876,79,2,2218.019999999998,3,2,5,325,Needs Attention
12877,25,12,1532.8700000000001,5,5,4,554,Champions
12878,258,2,854.9900000000001,1,2,3,123,Hibernating
12879,66,3,573.22,3,3,3,333,Potential Loyalists
12881,297,1,298.0,1,1,2,112,Lost
12882,31,2,1463.0400000000002,5,2,4,524,Promising
12883,46,4,703.4700000000001,4,4,3,443,Loyal Customers
12884,110,1,309.05,2,1,2,212,Lost
12885,85,3,1175.2200000000003,3,3,4,334,Potential Loyalists
12886,89,2,1378.4000000000005,3,2,4,324,Needs Attention
12888,236,2,354.12,1,2,2,122,Lost
12890,46,1,380.46999999999986,4,1,2,412,Promising
12891,207,3,331.0,1,3,2,132,Cant Lose Them
12893,52,1,188.1399999999999,4,1,1,411,Promising
12895,64,2,372.8,3,2,2,322,Needs Attention
12897,226,2,216.5,1,2,1,121,Lost
12901,30,28,17654.54,5,5,5,555,Champions
12902,286,1,138.68,1,1,1,111,Lost
12904,40,2,509.5799999999998,4,2,3,423,Promising
12906,33,5,2919.809999999999,5,4,5,545,Champions
12908,198,2,750.0,2,2,3,223,Hibernating
12909,61,5,2144.0199999999995,3,4,5,345,Potential Loyalists
12910,45,8,3075.0399999999995,4,5,5,455,Champions
12912,24,5,1662.3000000000006,5,4,4,544,Champions
12913,26,5,2443.13,5,4,5,545,Champions
12915,170,2,363.6499999999999,2,2,2,222,Lost
12916,160,4,3006.1499999999996,2,4,5,245,At Risk
12917,150,1,594.0,2,1,3,213,Hibernating
12919,30,6,1335.1899999999998,5,5,4,554,Champions
12920,39,1,164.23,4,1,1,411,Promising
12921,31,37,16587.090000000015,5,5,5,555,Champions
12922,183,1,405.37999999999994,2,1,2,212,Lost
12923,86,1,176.97000000000003,3,1,1,311,Needs Attention
12924,110,4,933.7000000000002,2,4,3,243,At Risk
12925,26,2,694.0499999999998,5,2,3,523,Promising
12928,57,5,2062.699999999999,3,4,5,345,Potential Loyalists
12929,333,1,117.85000000000001,1,1,1,111,Lost
12930,100,2,415.8,2,2,2,222,Lost
12931,43,15,42055.96,4,5,5,455,Champions
12933,46,3,607.5299999999996,4,3,3,433,Loyal Customers
12935,24,7,2160.6999999999994,5,5,5,555,Champions
12936,39,4,1063.9,4,4,4,444,Champions
12937,37,4,1504.2700000000007,4,4,4,444,Champions
12938,47,1,114.14,4,1,1,411,Promising
12939,86,8,11581.799999999997,3,5,5,355,Potential Loyalists
12940,76,2,913.5400000000001,3,2,3,323,Needs Attention
12942,153,3,683.9000000000002,2,3,3,233,Cant Lose Them
12944,57,2,604.51,3,2,3,323,Needs Attention
12945,310,1,462.95,1,1,2,112,Lost
12947,165,6,1593.4900000000002,2,5,4,254,At Risk
12948,38,7,2064.9500000000007,4,5,5,455,Champions
12949,52,8,4141.539999999999,4,5,5,455,Champions
12950,24,3,1843.0,5,3,4,534,Loyal Customers
12951,30,6,1059.0300000000002,5,5,4,554,Champions
12952,27,4,1387.7899999999997,5,4,4,544,Champions
12953,31,1,329.85,5,1,2,512,Promising
12955,23,11,4757.16,5,5,5,555,Champions
12956,328,1,108.07000000000001,1,1,1,111,Lost
12957,31,8,3970.7399999999993,5,5,5,555,Champions
12962,29,2,266.39,5,2,2,522,Promising
12963,30,8,1856.6299999999997,5,5,4,554,Champions
12965,111,1,771.9099999999997,2,1,3,213,Hibernating
12966,31,1,160.18,5,1,1,511,Promising
12967,380,2,1660.9000000000003,1,2,4,124,Hibernating
12968,134,1,135.95,2,1,1,211,Lost
12970,29,4,447.5599999999999,5,4,2,542,Loyal Customers
12971,25,86,11189.909999999993,5,5,5,555,Champions
12974,219,1,144.8,1,1,1,111,Lost
12976,233,1,738.5999999999999,1,1,3,113,Hibernating
12977,178,1,37.29,2,1,1,211,Lost
12980,179,9,6980.7,2,5,5,255,At Risk
12981,51,2,372.21999999999997,4,2,2,422,Promising
12982,264,1,338.7,1,1,2,112,Lost
12984,40,1,97.5,4,1,1,411,Promising
12985,22,2,1176.3800000000003,5,2,4,524,Promising
12987,95,2,558.7,2,2,3,223,Hibernating
12988,314,1,535.3199999999998,1,1,3,113,Hibernating
12989,30,14,6725.209999999998,5,5,5,555,Champions
12990,53,3,409.50000000000006,4,3,2,432,Loyal Customers
12991,45,2,503.7599999999999,4,2,3,423,Promising
12993,45,4,414.76,4,4,2,442,Loyal Customers
12994,26,3,974.42,5,3,4,534,Loyal Customers
12995,107,1,211.32,2,1,1,211,Lost
12997,44,4,1226.89,4,4,4,444,Champions
12999,218,3,455.88,1,3,2,132,Cant Lose Them
13000,128,3,534.85,2,3,3,233,Cant Lose Them
13001,26,13,9717.72000000001,5,5,5,555,Champions
13002,340,1,101.14999999999999,1,1,1,111,Lost
13003,127,3,149.05,2,3,1,231,Cant Lose Them
13004,33,18,5625.0700000000015,5,5,5,555,Champions
13005,195,2,513.7,2,2,3,223,Hibernating
13006,78,1,81.57,3,1,1,311,Needs Attention
13008,345,1,189.87,1,1,1,111,Lost
13011,394,1,50.550000000000004,1,1,1,111,Lost
